Feature,Normalized.Dispersion
ENSG00000238009,1.1494569977573268
ENSG00000241860,-2.164707698123125
ENSG00000286448,nan
ENSG00000237491,0.24127467770515984
ENSG00000228794,0.0778299341453521
ENSG00000225880,-2.6308877854813137
ENSG00000230368,-0.8424760037528993
ENSG00000223764,0.24201009085460026
ENSG00000187634,-0.6930079431330964
ENSG00000188976,-1.2288818360896134
ENSG00000187961,-0.39412606928186866
ENSG00000187583,nan
ENSG00000272512,0.6103108545927177
ENSG00000188290,-0.7767780249194031
ENSG00000187608,11.326112901365297
ENSG00000188157,2.1378742725133457
ENSG00000131591,7.30463698323316
ENSG00000186891,2.2242867330962053
ENSG00000186827,1.5153480423135854
ENSG00000078808,-1.2559468650617718
ENSG00000176022,-0.7976189620403527
ENSG00000184163,1.0256216761644066
ENSG00000260179,nan
ENSG00000160087,-0.5553647882128104
ENSG00000162572,3.8071919490011736
ENSG00000131584,-1.1012284100846148
ENSG00000169972,-0.7871865233932555
ENSG00000127054,-0.8452098442547057
ENSG00000224051,3.19004631974217
ENSG00000169962,-0.9312020951391238
ENSG00000107404,-1.9950695494617041
ENSG00000162576,-0.6268579886530385
ENSG00000175756,1.6805570597932067
ENSG00000221978,0.24477837671649552
ENSG00000224870,-0.7084563165104459
ENSG00000242485,0.5813357288186918
ENSG00000272455,-1.0494315346439143
ENSG00000235098,2.9158769739516406
ENSG00000225285,nan
ENSG00000179403,0.9892852087364918
ENSG00000215915,-0.30006897258592113
ENSG00000160072,-1.0501799886155334
ENSG00000197785,-0.7874905847830815
ENSG00000205090,1.191129060374138
ENSG00000160075,-0.7193128342958967
ENSG00000215014,0.2721194776087786
ENSG00000228594,2.5138195431797983
ENSG00000286989,24.15370178004783
ENSG00000272106,1.1374093469411797
ENSG00000197530,2.6921937618603553
ENSG00000189409,0.3707907032924768
ENSG00000248333,-1.4509368881408349
ENSG00000272004,0.23742159325789877
ENSG00000189339,0.9051794792925474
ENSG00000008128,0.1458166152421978
ENSG00000215790,-1.4234262532379167
ENSG00000008130,0.4833172519926601
ENSG00000078369,2.03997722511233
ENSG00000231050,nan
ENSG00000169885,-1.434881571403149
ENSG00000178821,1.0019505639944306
ENSG00000142609,nan
ENSG00000233542,8.554896859183959
ENSG00000187730,2.7641654516299767
ENSG00000067606,0.2656967826255786
