Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSG00000235560,AC002310.1,0.03246717979819924,0.4665037152577147,0.4299332778358309,0.02465710729189313,-0.2766370483967613,0.7064659403755658,0.0,-0.8927685093735827,1.0
ENSG00000169951,ZNF764,0.035315178026111456,0.10037581645981764,0.9710572788279521,0.02994077314015594,-0.20001576679384847,0.8105839389197486,0.05089767248523295,0.9552283971813682,1.0
ENSG00000229809,ZNF688,0.1315775181295443,-0.05287044383586492,0.9863066418495945,0.13385286815599126,0.028350555587232318,1.0,0.15269301745569885,0.3322980462611911,1.0
ENSG00000197162,ZNF785,0.03246717979819924,-0.08603730777106389,1.0,0.033463217038997815,0.0894908504011358,1.0,0.033931781656821966,0.5953324520949845,1.0
ENSG00000260167,AC093249.2,0.0005695996455824428,-0.48458668426133755,1.0,0.0,0.6744533511222919,1.0,0.0,4.2771564920687295,1.0
ENSG00000156853,ZNF689,0.21530866603016338,1.1507300163468663,0.00012081647549865753,0.08453865357220501,-1.321861602069852,2.891209859140991e-05,0.2035906899409318,0.23950395058933172,1.0
ENSG00000156858,PRR14,0.1611966996998313,-0.08972706692012533,0.8482826358456734,0.18316708273977753,0.2237919421127268,0.46303090976475,0.05089767248523295,-1.3227563501183974,1.0
ENSG00000156860,FBRS,0.10138873691367481,-0.8834139563589236,0.00013344999524588609,0.19021197053746128,0.8880488242215807,0.00019919944632530205,0.15269301745569885,0.4341776602804046,1.0
ENSG00000261840,AC093249.6,0.02449278476004504,1.1674900123183543,0.07306744671368526,0.008806109747104688,-1.232437244486226,0.08620689839807048,0.016965890828410983,0.6624466479535212,1.0
ENSG00000080603,SRCAP,0.09626234010343283,-0.7334072308754318,0.0073127031582828185,0.14618142180193783,0.5198763140134157,0.09220191564210994,0.2884201440829867,1.4640879188167324,0.6620282378941676
ENSG00000281991,TMEM265,0.037593576608441225,-0.5059603350539055,0.3299615052349826,0.052836658482628134,0.4993666445642013,0.36314644396639506,0.05089767248523295,0.677243649881603,1.0
ENSG00000156873,PHKG2,0.10423673514158703,-0.42045634684162314,0.1482050934749346,0.14794264375135877,0.5369498273723572,0.05310570430020237,0.05089767248523295,-0.7889326983890421,1.0
ENSG00000196118,CCDC189,0.03873277589960611,-0.07650194562426194,1.0,0.04050810483668157,0.10966873233876662,0.990038437825949,0.033931781656821966,0.3385570367328734,1.0
ENSG00000103549,RNF40,0.20106867489060232,-0.2649086476219269,0.28365563937751265,0.2342425192729847,0.2013837304720334,0.46749802222174436,0.3053860349113977,0.5973060434299735,1.0
ENSG00000102870,ZNF629,0.013670391493978628,-1.0106554959289262,0.13776006389217754,0.026418329241314067,0.9195658489588237,0.21590618826588562,0.033931781656821966,1.5401908979025238,1.0
ENSG00000274678,AC106886.3,0.0,-3.4845866842613384,0.05216407533478072,0.005283665848262813,3.674453351122292,0.04077826641165311,0.0,3.2771564920687295,1.0
ENSG00000099385,BCL7C,0.7923131070051779,0.5195649590091285,0.0018935340659164506,0.5618298018652791,-0.4742774280508968,0.007170475545492323,0.45807905236709656,-0.6561126303630791,1.0
ENSG00000260083,MIR762HG,0.05695996455824428,-0.1483032963969073,0.8347462516271581,0.06164276822973282,0.13013283489848249,0.8929623977922558,0.06786356331364393,0.511621745705753,1.0
ENSG00000150281,CTF1,0.0005695996455824428,-2.0695491849824945,0.3270908065873675,0.003522443898841875,2.259415851843449,0.2865836270024693,0.0,3.2771564920687295,1.0
ENSG00000260852,FBXL19-AS1,0.0005695996455824428,-0.48458668426133755,1.0,0.0,0.6744533511222919,1.0,0.0,4.2771564920687295,1.0
ENSG00000099364,FBXL19,0.03303677944378168,-0.994261057678258,0.09450071662010848,0.05812032433089094,0.6958270019148598,0.2895948971392034,0.13572712662728786,1.92351953745403,0.9659319193333278
ENSG00000175938,ORAI3,0.19366387949803054,0.421246604564137,0.10602686146313818,0.1444201998525169,-0.3975904437404352,0.1427128633972847,0.13572712662728786,-0.2774323596089072,1.0
