Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSG00000238009,AL627309.1,0.001654039814142505,0.9695255963980571,1.0,0.0011250061227510192,-0.9695255963980571,1.0
ENSG00000241860,AL627309.5,0.0,-0.4455119028807868,0.7611807255081324,0.0016875091841265287,0.4455119028807868,0.761180725508133
ENSG00000286448,AP006222.2,0.0,0.5544880971192132,1.0,0.0005625030613755096,-0.5544880971192132,1.0
ENSG00000237491,LINC01409,0.03638887591113511,-0.5218627890109016,0.2777907868087534,0.05400029389204892,0.5218627890109016,0.2777907868087534
ENSG00000228794,LINC01128,0.04465907498184764,-0.7879041003278644,0.030619606185275716,0.07931293165394686,0.7879041003278644,0.030619606185275716
ENSG00000225880,LINC00115,0.0,-1.4455119028807868,0.378624581530926,0.003937521429628567,1.4455119028807868,0.378624581530926
ENSG00000230368,FAM41C,0.01323231851314004,-0.7991488574954877,0.2557838283513096,0.025312637761897933,0.7991488574954877,0.25578382835131325
ENSG00000223764,LINC02593,0.008270199070712525,3.1394505978403693,0.017277430383564656,0.0005625030613755096,-3.1394505978403693,0.017277430383564656
ENSG00000187634,SAMD11,0.01654039814142505,2.4289572150353544,0.004096056781026952,0.002812515306877548,-2.4289572150353544,0.004096056781026952
ENSG00000188976,NOC2L,0.2249494147233807,0.1646801462566887,0.5629294260809561,0.20137609597243245,-0.1646801462566887,0.5629294260809561
ENSG00000187961,KLHL17,0.0661615925657002,0.6641125882937118,0.09127389240870437,0.04218772960316322,-0.6641125882937118,0.09127389240870437
ENSG00000187583,PLEKHN1,0.00330807962828501,3.1394505978403693,0.1492995897894709,0.0,-3.1394505978403693,0.1492995897894709
ENSG00000272512,AL645608.7,0.004962119442427515,1.5544880971192132,0.33588541212988504,0.0016875091841265287,-1.5544880971192132,0.33588541212988504
ENSG00000188290,HES4,0.08766411014955278,3.309375599282682,1.4672341001856734e-16,0.008437545920632644,-3.309375599282682,1.4672341001856734e-16
ENSG00000187608,ISG15,0.4151639933497688,0.10550326591703207,0.7716736902800662,0.3864396031649751,-0.10550326591703207,0.7716736902800662
ENSG00000188157,AGRN,0.39200743595177373,0.5097266461124641,0.016518456788482575,0.2756265000739997,-0.5097266461124641,0.016518456788482575
ENSG00000131591,C1orf159,0.04300503516770513,-0.150056019354615,0.9862262756335565,0.048937766339669335,0.150056019354615,0.9862262756335565
ENSG00000186891,TNFRSF18,0.021502517583852566,2.361843019176818,0.001199776795773077,0.003937521429628567,-2.361843019176818,0.001199776795773077
ENSG00000186827,TNFRSF4,0.04300503516770513,2.6089358811415906,5.791080062397924e-07,0.006750036736506115,-2.6089358811415906,5.791080062397924e-07
